Datetime,Timestep,Calling Point,zn_soft1_temp,zn_finance1_temp,zn_hardware_corri_temp,air_loop_fan_electric_power,air_loop_fan_mass_flow,Indoor_CO2_zn0,Indoor_CO2_zn1,Occupancy_schedule,air_loop_fan_mass_flow_actuator,oa_rh,oa_db,oa_pa,sun_up,rain,snow,wind_dir,wind_speed
2019-01-01 00:15:00,1,callback_begin_zone_timestep_before_init_heat_balance,17.46682462516032,17.46224343824641,17.23645263630195,523.7400000000001,1.3475943290263546,419.3187046393002,434.02985082794186,0.0500000007450581,0.0,61.5,6.500000000000001,101253.25,False,True,False,300.0,9.650000000000002
2019-01-01 00:30:00,2,callback_begin_zone_timestep_before_init_heat_balance,17.484739089800726,17.478827723698615,17.243753108234586,262.33747974839264,0.675,419.9436535872343,436.2216692108687,0.0500000007450581,0.675,71.0,7.1000000000000005,101226.5,False,True,False,280.0,8.5
2019-01-01 00:45:00,3,callback_begin_zone_timestep_before_init_heat_balance,17.510373609238954,17.507334429467583,17.285021454967797,262.33747974839264,0.675,420.8217413791525,439.22180552776496,0.0500000007450581,0.675,80.5,7.700000000000001,101199.75,False,True,False,260.0,7.3500000000000005
2019-01-01 01:00:00,4,callback_begin_zone_timestep_before_init_heat_balance,17.53892879513057,17.534714217863808,17.327577870863628,262.33747974839264,0.675,421.62004169389536,441.83499326731584,0.0500000007450581,0.675,90.0,8.3,101173.0,False,True,False,240.0,6.2
2019-01-01 01:15:00,1,callback_begin_zone_timestep_before_init_heat_balance,17.5653896899426,17.562843709603793,17.367952291243096,262.33747974839264,0.675,422.2247341730562,443.6957853073192,0.0500000007450581,0.675,90.5,8.325000000000001,101150.5,False,True,False,240.0,6.2
2019-01-01 01:30:00,2,callback_begin_zone_timestep_before_init_heat_balance,17.567835707383,17.565440799808272,17.369487875959503,262.33747974839264,0.675,422.650340155755,444.90671433880203,0.0500000007450581,0.675,91.0,8.350000000000001,101128.0,False,True,False,240.0,6.2
2019-01-01 01:45:00,3,callback_begin_zone_timestep_before_init_heat_balance,17.5671473697825,17.56427953565787,17.370105575059483,262.33747974839264,0.675,422.9480536007969,445.6849183066553,0.0500000007450581,0.675,91.5,8.375,101105.5,False,False,False,240.0,6.2
2019-01-01 02:00:00,4,callback_begin_zone_timestep_before_init_heat_balance,17.569486234709206,17.56404959081703,17.3729515206619,262.33747974839264,0.675,423.1616409814727,446.2017892863385,0.0500000007450581,0.675,92.0,8.4,101083.0,False,False,False,240.0,6.2
2019-01-01 02:15:00,1,callback_begin_zone_timestep_before_init_heat_balance,17.569404091168558,17.566342146384766,17.374306006930656,262.33747974839264,0.675,423.31886241981687,446.55866614282894,0.0500000007450581,0.675,91.5,8.5,101043.25,False,False,False,242.5,6.325
2019-01-01 02:30:00,2,callback_begin_zone_timestep_before_init_heat_balance,17.571883211976033,17.570295628294016,17.38235867073151,262.33747974839264,0.675,423.43578114218724,446.80968055670564,0.0500000007450581,0.675,91.0,8.600000000000001,101003.5,False,False,False,245.0,6.45
2019-01-01 02:45:00,3,callback_begin_zone_timestep_before_init_heat_balance,17.577234080464066,17.574472855687745,17.386891295068278,262.33747974839264,0.675,423.52245382364544,446.9858012522685,0.0500000007450581,0.675,90.5,8.700000000000001,100963.75,False,False,False,247.5,6.575
2019-01-01 03:00:00,4,callback_begin_zone_timestep_before_init_heat_balance,17.580870687500834,17.578431176740537,17.39549096354179,262.33747974839264,0.675,423.5861278267531,447.107733997117,0.0500000007450581,0.675,90.0,8.8,100924.0,False,False,False,250.0,6.7
2019-01-01 03:15:00,1,callback_begin_zone_timestep_before_init_heat_balance,17.585072562641784,17.58244177397757,17.400114592545474,262.33747974839264,0.675,423.6324172730677,447.190800963303,0.0500000007450581,0.675,90.75,8.850000000000001,100889.25,False,False,False,252.5,7.075
2019-01-01 03:30:00,2,callback_begin_zone_timestep_before_init_heat_balance,17.588877608077844,17.58621506602517,17.403735968876166,262.33747974839264,0.675,423.6656978634927,447.2464031289087,0.0500000007450581,0.675,91.5,8.9,100854.5,False,True,False,255.0,7.449999999999999
2019-01-01 03:45:00,3,callback_begin_zone_timestep_before_init_heat_balance,17.59027182528476,17.588822922398904,17.408286946932904,262.33747974839264,0.675,423.6892817548723,447.2827221845179,0.0500000007450581,0.675,92.25,8.95,100819.75,False,True,False,257.5,7.824999999999999
2019-01-01 04:00:00,4,callback_begin_zone_timestep_before_init_heat_balance,17.59333882520235,17.591815911069933,17.409529114975918,262.33747974839264,0.675,423.7055865829934,447.30543453867233,0.0500000007450581,0.675,93.0,9.0,100785.0,False,True,False,260.0,8.2
2019-01-01 04:15:00,1,callback_begin_zone_timestep_before_init_heat_balance,17.5947704744995,17.593892408730646,17.41272350142438,262.33747974839264,0.675,423.7164107449604,447.3184939840604,0.0500000007450581,0.675,90.0,9.025,100760.0,False,True,False,265.0,9.5
2019-01-01 04:30:00,2,callback_begin_zone_timestep_before_init_heat_balance,17.595465813711172,17.59375373892784,17.41526092902279,262.33747974839264,0.675,423.7229280331327,447.3241539501637,0.0500000007450581,0.675,87.0,9.05,100735.0,False,True,False,270.0,10.8
2019-01-01 04:45:00,3,callback_begin_zone_timestep_before_init_heat_balance,17.597802166594423,17.595901883096943,17.41682158656069,262.33747974839264,0.675,423.72629067598785,447.3247890954706,0.0500000007450581,0.675,84.0,9.075,100710.0,False,True,False,275.0,12.100000000000001
2019-01-01 05:00:00,4,callback_begin_zone_timestep_before_init_heat_balance,17.598936432914016,17.59601197913721,17.41833255143237,262.33747974839264,0.675,423.72760385677196,447.32277260557134,0.0500000007450581,0.675,81.0,9.1,100685.0,False,True,False,280.0,13.4
2019-01-01 05:15:00,1,callback_begin_zone_timestep_before_init_heat_balance,17.60098297441264,17.59806156747921,17.42016424369947,262.33747974839264,0.675,423.7277413768211,447.3198358580775,0.0500000007450581,0.675,79.25,8.7,100664.5,False,True,False,280.0,13.4
2019-01-01 05:30:00,2,callback_begin_zone_timestep_before_init_heat_balance,17.581196643532877,17.581055863026126,17.395549455826046,262.33747974839264,0.675,423.72606334229204,447.3133199313738,0.0500000007450581,0.675,77.5,8.3,100644.0,False,True,False,280.0,13.4
2019-01-01 05:45:00,3,callback_begin_zone_timestep_before_init_heat_balance,17.562789032351603,17.559109376066555,17.363941670211222,262.33747974839264,0.675,423.72247404303994,447.30265619744114,0.0500000007450581,0.675,75.75,7.9,100623.5,False,True,False,280.0,13.4
2019-01-01 06:00:00,4,callback_begin_zone_timestep_before_init_heat_balance,17.5426724848659,17.541074719989666,17.334954920491494,262.33747974839264,0.675,423.7174182846405,447.2888142714331,0.0500000007450581,0.675,74.0,7.5,100603.0,False,True,False,280.0,13.4
2019-01-01 06:15:00,1,callback_begin_zone_timestep_before_init_heat_balance,17.52470398592553,17.52042231302423,17.306421476952178,262.33747974839264,0.675,423.7114174979664,447.2731754755116,0.0500000007450581,0.675,74.25,7.5,100583.25,False,True,False,277.5,13.65
2019-01-01 06:30:00,2,callback_begin_zone_timestep_before_init_heat_balance,17.523175354644163,17.521591141308278,17.304997794992865,262.33747974839264,0.675,423.70639863936066,447.2609053985702,0.0500000007450581,0.675,74.5,7.5,100563.5,False,True,False,275.0,13.9
2019-01-01 06:45:00,3,callback_begin_zone_timestep_before_init_heat_balance,17.525106071516213,17.5205352075931,17.306446146992318,262.33747974839264,0.675,423.70300420970386,447.2535133173644,0.0500000007450581,0.675,74.75,7.5,100543.75,False,True,False,272.5,14.15
2019-01-01 07:00:00,4,callback_begin_zone_timestep_before_init_heat_balance,17.52393163324027,17.522082649734713,17.305913572468715,262.33747974839264,0.675,423.7009383307962,447.24966185245455,0.0500000007450581,0.675,75.0,7.5,100524.0,False,True,False,270.0,14.4
2019-01-01 07:15:00,1,callback_begin_zone_timestep_before_init_heat_balance,17.523269704063363,17.520614455550916,17.309433814932518,262.33747974839264,0.675,423.6996204938568,447.2475335403,0.0500000007450581,0.675,75.0,7.375,100506.25,False,True,False,272.5,14.8
2019-01-01 07:30:00,2,callback_begin_zone_timestep_before_init_heat_balance,17.51860431272778,17.516201301401438,17.29837908235145,262.33747974839264,0.675,423.6981536404244,447.24458102557116,0.0500000007450581,0.675,75.0,7.25,100488.5,False,True,False,275.0,15.2
