Datetime,Timestep,Calling Point,zn_soft1_temp,zn_finance1_temp,air_loop_fan_electric_power,air_loop_fan_mass_flow,Indoor_CO2_zn0,Indoor_CO2_zn1,air_loop_fan_mass_flow_actuator,oa_rh,oa_db,oa_pa,sun_up,rain,snow,wind_dir,wind_speed
2019-01-01 00:15:00,1,callback_begin_zone_timestep_before_init_heat_balance,17.467753432413023,17.460880218952465,523.7400000000001,1.3475943290263546,419.3186588323918,434.0298692623287,0.0,61.5,6.500000000000001,101253.25,False,True,False,300.0,9.650000000000002
2019-01-01 00:30:00,2,callback_begin_zone_timestep_before_init_heat_balance,17.481618366527442,17.478912801676735,262.33748438143925,0.675000011920929,419.9436402574749,436.221702266703,0.675000011920929,71.0,7.1000000000000005,101226.5,False,True,False,280.0,8.5
2019-01-01 00:45:00,3,callback_begin_zone_timestep_before_init_heat_balance,17.51032260777862,17.505471451126404,262.33748438143925,0.675000011920929,420.8217484612739,439.22187455510044,0.675000011920929,80.5,7.700000000000001,101199.75,False,True,False,260.0,7.3500000000000005
2019-01-01 01:00:00,4,callback_begin_zone_timestep_before_init_heat_balance,17.538351315851536,17.536184508366958,262.33748438143925,0.675000011920929,421.6200595028381,441.8350352383432,0.675000011920929,90.0,8.3,101173.0,False,True,False,240.0,6.2
2019-01-01 01:15:00,1,callback_begin_zone_timestep_before_init_heat_balance,17.567485136542718,17.56154541132076,262.33748438143925,0.675000011920929,422.2247320706822,443.6958312093068,0.675000011920929,90.5,8.325000000000001,101150.5,False,True,False,240.0,6.2
2019-01-01 01:30:00,2,callback_begin_zone_timestep_before_init_heat_balance,17.56763803143302,17.56485598797287,262.33748438143925,0.675000011920929,422.650327732479,444.90677323574835,0.675000011920929,91.0,8.350000000000001,101128.0,False,True,False,240.0,6.2
2019-01-01 01:45:00,3,callback_begin_zone_timestep_before_init_heat_balance,17.566529904933166,17.565386878699098,262.33748438143925,0.675000011920929,422.94804661152443,445.6849468222199,0.675000011920929,91.5,8.375,101105.5,False,False,False,240.0,6.2
2019-01-01 02:00:00,4,callback_begin_zone_timestep_before_init_heat_balance,17.569687176286642,17.565829157172555,262.33748438143925,0.675000011920929,423.16163762865966,446.2017507556722,0.675000011920929,92.0,8.4,101083.0,False,False,False,240.0,6.2
2019-01-01 02:15:00,1,callback_begin_zone_timestep_before_init_heat_balance,17.567584120056537,17.56595397174105,262.33748438143925,0.675000011920929,423.3188793700025,446.5586125414342,0.675000011920929,91.5,8.5,101043.25,False,False,False,242.5,6.325
2019-01-01 02:30:00,2,callback_begin_zone_timestep_before_init_heat_balance,17.57328042647878,17.57043124261886,262.33748438143925,0.675000011920929,423.435792134512,446.8096344763606,0.675000011920929,91.0,8.600000000000001,101003.5,False,False,False,245.0,6.45
2019-01-01 02:45:00,3,callback_begin_zone_timestep_before_init_heat_balance,17.576770752046784,17.5757533932567,262.33748438143925,0.675000011920929,423.5224617982582,446.9857365496978,0.675000011920929,90.5,8.700000000000001,100963.75,False,False,False,247.5,6.575
2019-01-01 03:00:00,4,callback_begin_zone_timestep_before_init_heat_balance,17.58276492385596,17.58011282989996,262.33748438143925,0.675000011920929,423.5861145162258,447.1076259802385,0.675000011920929,90.0,8.8,100924.0,False,False,False,250.0,6.7
2019-01-01 03:15:00,1,callback_begin_zone_timestep_before_init_heat_balance,17.5872181851636,17.58405965616102,262.33748438143925,0.675000011920929,423.63237235091873,447.19064888525935,0.675000011920929,90.75,8.850000000000001,100889.25,False,False,False,252.5,7.075
2019-01-01 03:30:00,2,callback_begin_zone_timestep_before_init_heat_balance,17.58747662079924,17.58775800177066,262.33748438143925,0.675000011920929,423.6656594674439,447.24621910162693,0.675000011920929,91.5,8.9,100854.5,False,True,False,255.0,7.449999999999999
2019-01-01 03:45:00,3,callback_begin_zone_timestep_before_init_heat_balance,17.591508883331972,17.588221205609155,262.33748438143925,0.675000011920929,423.6892439369962,447.2825725501089,0.675000011920929,92.25,8.95,100819.75,False,True,False,257.5,7.824999999999999
2019-01-01 04:00:00,4,callback_begin_zone_timestep_before_init_heat_balance,17.592790703214483,17.591881152091975,262.33748438143925,0.675000011920929,423.70555852503804,447.30533011670747,0.675000011920929,93.0,9.0,100785.0,False,True,False,260.0,8.2
2019-01-01 04:15:00,1,callback_begin_zone_timestep_before_init_heat_balance,17.596695281885477,17.592949247093397,262.33748438143925,0.675000011920929,423.71637132321104,447.3184489510547,0.675000011920929,90.0,9.025,100760.0,False,True,False,265.0,9.5
2019-01-01 04:30:00,2,callback_begin_zone_timestep_before_init_heat_balance,17.59763768503132,17.593842074661808,262.33748438143925,0.675000011920929,423.7228631511557,447.32413816289335,0.675000011920929,87.0,9.05,100735.0,False,True,False,270.0,10.8
2019-01-01 04:45:00,3,callback_begin_zone_timestep_before_init_heat_balance,17.59904808596366,17.59489591870742,262.33748438143925,0.675000011920929,423.72620900669745,447.32480755768535,0.675000011920929,84.0,9.075,100710.0,False,True,False,275.0,12.100000000000001
2019-01-01 05:00:00,4,callback_begin_zone_timestep_before_init_heat_balance,17.59962072197974,17.595947946542893,262.33748438143925,0.675000011920929,423.72752050848135,447.3228028781404,0.675000011920929,81.0,9.1,100685.0,False,True,False,280.0,13.4
2019-01-01 05:15:00,1,callback_begin_zone_timestep_before_init_heat_balance,17.601619244515962,17.596909789030782,262.33748438143925,0.675000011920929,423.72766411608416,447.31989127377074,0.675000011920929,79.25,8.7,100664.5,False,True,False,280.0,13.4
2019-01-01 05:30:00,2,callback_begin_zone_timestep_before_init_heat_balance,17.581912967398384,17.580872226858904,262.33748438143925,0.675000011920929,423.72599252709415,447.3133822900118,0.675000011920929,77.5,8.3,100644.0,False,True,False,280.0,13.4
2019-01-01 05:45:00,3,callback_begin_zone_timestep_before_init_heat_balance,17.563526584297506,17.560026318825713,262.33748438143925,0.675000011920929,423.7224076063552,447.3026845156794,0.675000011920929,75.75,7.9,100623.5,False,True,False,280.0,13.4
2019-01-01 06:00:00,4,callback_begin_zone_timestep_before_init_heat_balance,17.543382074477975,17.54031226293359,262.33748438143925,0.675000011920929,423.71735475774625,447.28883806632706,0.675000011920929,74.0,7.5,100603.0,False,True,False,280.0,13.4
2019-01-01 06:15:00,1,callback_begin_zone_timestep_before_init_heat_balance,17.52530109994361,17.52012155612518,262.33748438143925,0.675000011920929,423.7113572498617,447.27320568708717,0.675000011920929,74.25,7.5,100583.25,False,True,False,277.5,13.65
